,Price,Prediction,Signal,Expected_Return,Signal_Strength,Regime,Volatility,SMA_50,SMA_200
603,382.7,370.119323361367,0,-0.032873469136746825,0.032873469136746825,bull,0.011498684213924894,341.44199999999995,317.19665000000003
604,378.85,373.00992717787625,0,-0.015415264147086638,0.015415264147086638,bull,0.01205039867122856,342.4460000000001,317.7343
605,378.91,371.6872107376158,0,-0.019062018058072356,0.019062018058072356,bull,0.011349635982337965,343.60880000000003,318.268
606,374.51,371.15505479618906,0,-0.008958225958748574,0.008958225958748574,bull,0.01189966158414791,344.7084,318.79395
607,369.14,368.01590152427553,0,-0.003045181978990226,0.003045181978990226,bull,0.012343374552387005,345.751,319.3289
608,372.52,363.22255209729076,0,-0.024958251644768666,0.024958251644768666,bull,0.012297630929043568,346.8506,319.9012
609,368.8,363.7329889853299,0,-0.0137391838792574,0.0137391838792574,bull,0.012398940664936912,347.9838,320.48185
610,370.95,361.76057934805755,0,-0.024772666537114008,0.024772666537114008,bull,0.012362427575439129,349.147,321.07905000000005
611,374.23,362.3440979157388,0,-0.03176095471838496,0.03176095471838496,bull,0.012325034440453055,350.3588,321.67634999999996
612,371.3,365.2450460021198,0,-0.01630744410956155,0.01630744410956155,bull,0.011237968145302096,351.46979999999996,322.28675000000004
613,374.38,364.13828087046744,0,-0.027356480393003247,0.027356480393003247,bull,0.011192909681666207,352.52139999999997,322.90785
614,374.37,365.6452570636571,0,-0.02330513378834554,0.02330513378834554,bull,0.011005381960447166,353.741,323.5326
615,365.93,366.2399547477067,0,0.0008470328962005944,0.0008470328962005944,bull,0.012162156333040986,354.6804,324.1309
616,370.73,360.16992609918117,0,-0.028484541042858278,0.028484541042858278,bull,0.011850883820486711,355.70779999999996,324.729
617,372.65,361.5053772096336,0,-0.029906407595240533,0.029906407595240533,bull,0.011280841972846282,356.6156,325.3158
618,373.26,363.9314476509392,0,-0.024992102955207554,0.024992102955207554,bull,0.01025497249550421,357.48439999999994,325.89775000000003
619,370.62,365.28596000269056,0,-0.01439220764478292,0.01439220764478292,bull,0.010046336468364699,358.329,326.4801
620,373.54,364.4117583204806,0,-0.024437119664612678,0.024437119664612678,bull,0.009764508020703363,359.1514000000001,327.0793
621,374.58,366.0685438041389,0,-0.022722665908113244,0.022722665908113244,bull,0.009791074357810396,360.01980000000003,327.6906000000001
622,374.66,367.4602394361794,0,-0.019216784721669333,0.019216784721669333,bull,0.009758514633366813,360.9584,328.32095000000004
623,374.07,367.9516900886595,0,-0.016356056116075803,0.016356056116075803,bull,0.009390959797749029,361.787,328.9217
624,375.28,367.84792780026794,0,-0.01980407215874023,0.01980407215874023,bull,0.009191585737117775,362.65139999999997,329.49415
625,376.04,368.61611049965023,0,-0.019742286725746693,0.019742286725746693,bull,0.009207371519154349,363.57,330.04715
626,370.87,369.75191915825013,0,-0.0030147513731223134,0.0030147513731223134,bull,0.009356215715205509,364.36100000000005,330.5205
627,370.6,366.0852668230236,0,-0.012182226597346057,0.012182226597346057,bull,0.008769136303647704,365.2396,330.97635
628,367.94,364.2330946479738,0,-0.010074754992733009,0.010074754992733009,bull,0.008654303104317395,366.01199999999994,331.45489999999995
629,367.75,361.75565831929447,0,-0.016300045358818575,0.016300045358818575,bull,0.008367034763139342,366.7564,331.92474999999996
630,374.69,361.1993864019215,0,-0.036004733507909156,0.036004733507909156,bull,0.009309384776367242,367.4368,332.43675
631,375.79,366.81278988912703,0,-0.02388890101086508,0.02388890101086508,bull,0.009124094549306667,368.3948,332.9274
632,382.77,369.938631272763,0,-0.03352239916199536,0.03352239916199536,bull,0.009780481756855116,369.454,333.43839999999994
633,384.63,375.65233047872783,0,-0.0233410537952634,0.0233410537952634,bull,0.009685814621671096,370.4004,333.97965000000005
634,388.47,378.6485619437695,0,-0.025282359142869547,0.025282359142869547,bull,0.009865401983815934,371.4076,334.54585
