symbol,date,open,high,low,close,volume,change,changePercent,vwap
TSLA,2025-08-12,345.0,345.26,332.94,340.84,80690111,-4.16,-1.21,341.01
TSLA,2025-08-13,341.5,348.98,338.2,339.38,67838900,-2.12,-0.62079,342.015
TSLA,2025-08-14,335.76,340.47,330.4,335.58,75000700,-0.18,-0.05360972,335.5525
TSLA,2025-08-15,337.66,339.3,327.02,330.56,74319800,-7.09,-2.1,333.635
TSLA,2025-08-18,329.62,336.27,329.59,335.16,56956600,5.54,1.68,332.66
TSLA,2025-08-19,335.79,340.55,327.85,329.31,75956002,-6.48,-1.93,333.375
TSLA,2025-08-20,329.22,331.37,314.6,323.9,77481800,-5.32,-1.62,324.7725
TSLA,2025-08-21,322.08,324.9,318.68,320.11,55744445,-1.97,-0.61165,321.4425
TSLA,2025-08-22,321.66,340.25,319.69,340.01,94016347,18.35,5.7,330.4025
TSLA,2025-08-25,338.9,349.53,335.03,346.6,86670037,7.7,2.27,342.515
TSLA,2025-08-26,344.93,351.9,343.72,351.67,76651600,6.74,1.95,348.055
TSLA,2025-08-27,351.94,355.39,349.16,349.6,65519012,-2.34,-0.66489,351.5225
TSLA,2025-08-28,350.91,353.55,340.26,345.98,67903224,-4.93,-1.4,347.675
TSLA,2025-08-29,347.23,348.75,331.7,333.87,81145700,-13.36,-3.85,340.3875
TSLA,2025-09-02,328.23,333.33,325.6,329.36,58392000,1.13,0.34427,329.13
TSLA,2025-09-03,335.2,343.33,328.51,334.09,88733300,-1.11,-0.33115,335.2825
TSLA,2025-09-04,336.15,338.89,331.48,338.53,60711033,2.38,0.70802,336.2625
TSLA,2025-09-05,348.0,355.87,344.68,350.84,108989800,2.84,0.81609,349.8475
TSLA,2025-09-08,354.64,358.44,344.84,346.4,75208300,-8.24,-2.32,351.08
TSLA,2025-09-09,348.44,350.77,343.82,346.97,53816000,-1.47,-0.42188,347.5
TSLA,2025-09-10,350.55,356.33,346.07,347.79,72121700,-2.76,-0.78733,350.185
TSLA,2025-09-11,350.17,368.99,347.6,368.81,103756010,18.64,5.32,358.89
TSLA,2025-09-12,370.94,396.69,370.24,395.94,168156400,25.0,6.74,383.45
TSLA,2025-09-15,423.13,425.7,402.43,410.04,163823700,-13.09,-3.09,415.33
TSLA,2025-09-16,414.5,423.25,411.43,421.62,104285721,7.12,1.72,417.7
TSLA,2025-09-17,415.75,428.31,409.67,425.86,106133500,10.11,2.43,419.9
TSLA,2025-09-18,428.87,432.22,416.56,416.85,90454500,-12.02,-2.8,423.63
TSLA,2025-09-19,421.82,429.47,421.72,426.07,86738343,4.25,1.01,424.77
