date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-09-20 00:00:00+00:00,242.45,243.51,239.64,242.065,26660299,235.5955928231,236.6256251118,232.8650355295,235.221477322,26660299,0.0,1.0
2022-09-21 00:00:00+00:00,238.95,247.66,238.9,244.27,28625557,232.1945428133,240.6582986949,232.1459563846,237.3641388282,28625557,0.0,1.0
2022-09-22 00:00:00+00:00,240.98,243.86,237.57,237.8704,30927092,234.167151819,236.9657301128,230.8535573808,231.1454646445,30927092,0.0,1.0
2022-09-23 00:00:00+00:00,237.92,241.13,235.2,239.54,34176048,231.1936623818,234.3129111051,228.5505606599,232.7678626721,34176048,0.0,1.0
2022-09-26 00:00:00+00:00,237.45,241.45,236.9,237.045,27694190,230.7369499519,234.6238642489,230.2024992361,230.3433998794,27694190,0.0,1.0
2022-09-27 00:00:00+00:00,236.41,241.8,234.5,239.98,27018732,229.7263522347,234.9639692499,227.8703506579,233.1954232447,27018732,0.0,1.0
2022-09-28 00:00:00+00:00,241.07,242.33,234.73,236.81,29029679,234.2546073907,235.4789853942,228.09384823,230.1150436644,29029679,0.0,1.0
2022-09-29 00:00:00+00:00,237.5,239.95,234.41,238.89,27484233,230.7855363806,233.1662713875,227.7828950863,232.1362390988,27484233,0.0,1.0
2022-09-30 00:00:00+00:00,232.9,240.54,232.73,238.29,35694832,226.3155849392,233.7395912463,226.1503910815,231.5532019543,35694832,0.0,1.0
2022-10-03 00:00:00+00:00,240.74,241.61,234.66,235.41,28880357,233.9339369612,234.7793408207,228.0258272298,228.7546236605,28880357,0.0,1.0
2022-10-04 00:00:00+00:00,248.88,250.36,244.975,245.09,34888416,241.8438075554,243.2819658453,238.049207473,238.1609562591,34888416,0.0,1.0
2022-10-05 00:00:00+00:00,249.2,250.58,244.1,245.99,20347136,242.1547606992,243.4957461316,237.1989449706,239.0355119759,20347136,0.0,1.0
2022-10-06 00:00:00+00:00,246.79,250.34,246.08,247.93,20239886,239.8128948353,243.2625312738,239.1229675476,240.9206654099,20239886,0.0,1.0
2022-10-07 00:00:00+00:00,234.24,241.32,233.17,240.902,37769602,227.6177012286,234.4975395342,226.5779516542,234.0913569902,37769602,0.0,1.0
2022-10-10 00:00:00+00:00,229.25,234.559,226.73,233.05,29743608,222.7687756432,227.9276826438,220.3200196361,226.4613442253,29743608,0.0,1.0
2022-10-11 00:00:00+00:00,225.41,229.06,224.11,227.62,30473954,219.0373379182,222.5841472141,217.7740907716,221.1848580672,30473954,0.0,1.0
2022-10-12 00:00:00+00:00,225.75,227.86,223.96,225.4,21903937,219.3677256334,221.418072925,217.6283314855,219.0276206324,21903937,0.0,1.0
